round_id,round_start,round_end,captured_at,team,jersey,player,position
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,8,Tyson Frizell,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,9,Phoenix Crossland,hooker
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,10,Cody Hopwood,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,11,Jermaine McEwen,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,12,Francis Manuleleua,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,13,Mat Croker,lock
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,14,Harrison Graham,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,15,Lachlan Crouch,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,16,Pasami Saulo,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Knights,17,Thomas Cant,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,1,Dylan Edwards,fullback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,2,Thomas Jenkins,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,3,Luke Garner,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,4,Casey McLean,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,5,Brian To'o,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,6,Jack Cole,five eighth
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,7,Nathan Cleary,halfback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,8,Moses Leota,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,9,Mitch Kenny,hooker
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,10,Lindsay Smith,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,11,Isaiah Papali'i,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,12,Liam Martin,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,13,Isaah Yeo,lock
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,14,Freddy Lussick,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,15,Scott Sorensen,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,16,Liam Henry,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Panthers,17,Billy Phillips,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Rabbitohs,1,Matthew Dufty,fullback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Rabbitohs,2,Alex Johnston,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Rabbitohs,3,Latrell Mitchell,centre
